,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office
216,tt0054086,the millionairess,1960,1491.0,5.5,5.5,2.0,,,4.0,3.0,90.0,0.0,0.0,,
217,tt0054115,never let go,1960,916.0,7.1,7.1,7.1,,,4.0,3.0,90.0,0.0,0.0,,
218,tt0054116,never take sweets from a stranger,1960,848.0,7.3,7.3,7.3,,,4.0,4.0,91.0,0.0,0.0,,
219,tt0054121,night train for inverness,1960,39.0,6.2,6.2,6.2,,,4.0,1.0,69.0,0.0,0.0,,
221,tt0199910,operation cupid,1960,18.0,5.5,5.5,5.5,,,4.0,1.0,62.0,0.0,0.0,,
222,tt0053149,oscar wilde,1960,323.0,6.9,6.9,6.9,,,4.0,3.0,96.0,0.0,0.0,,
223,tt0054167,peeping tom,1960,27943.0,7.7,7.7,9.6,,,4.0,3.0,101.0,0.0,0.0,,0.02
224,tt0054181,piccadilly third stop,1960,86.0,6.6,6.6,6.6,,,4.0,2.0,78.0,0.0,0.0,,
225,tt0055342,the pure hell of st trinian's,1960,651.0,6.2,6.2,6.2,,,4.0,1.0,94.0,0.0,0.0,,
227,tt0054266,sands of the desert,1960,93.0,5.0,5.0,5.0,,,4.0,1.0,92.0,0.0,0.0,,
228,tt0054269,saturday night and sunday morning,1960,6960.0,7.6,7.6,9.2,,,4.0,2.0,89.0,7.0,3.0,,
229,tt0054279,school for scoundrels,1960,2836.0,7.5,7.5,7.5,,,4.0,1.0,94.0,0.0,0.0,,
230,tt0054310,sink the bismarck!,1960,6466.0,7.1,7.1,8.6,1.33,,4.0,4.0,97.0,0.0,2.0,,
231,tt0054326,sons and lovers,1960,1191.0,7.1,7.1,6.7,0.5,,4.0,1.0,103.0,7.0,16.0,,
232,tt0339716,the spider's web,1960,91.0,6.2,6.2,6.2,,,4.0,1.0,88.0,0.0,0.0,,
235,tt0054358,sword of sherwood forest,1960,871.0,6.3,6.3,6.3,,,4.0,3.0,80.0,0.0,0.0,,
236,tt0056565,the tell-tale heart,1960,309.0,5.8,5.8,5.8,,,4.0,1.0,78.0,0.0,0.0,,
237,tt0054379,there was a crooked man,1960,90.0,7.1,7.1,7.1,,,4.0,1.0,107.0,0.0,0.0,,
238,tt0053366,too young to love,1960,32.0,5.9,5.9,5.9,,,4.0,1.0,88.0,0.0,0.0,,
240,tt0054403,the trials of oscar wilde,1960,695.0,7.1,7.1,7.1,,,4.0,3.0,123.0,3.0,5.0,,
241,tt0054408,trouble with eve,1960,7.0,7.0,7.0,7.0,,,4.0,1.0,65.0,0.0,0.0,,
242,tt0054412,tunes of glory,1960,3166.0,7.6,7.6,7.8,,,4.0,1.0,106.0,1.0,6.0,,
243,tt0054416,the two faces of dr. jekyll,1960,2213.0,6.3,6.3,8.3,,,4.0,1.0,88.0,0.0,0.0,,
244,tt0054417,two-way stretch,1960,1585.0,7.0,7.0,7.0,,,4.0,2.0,78.0,0.0,0.0,,
245,tt0226581,urge to kill,1960,24.0,5.9,5.9,5.9,,,4.0,2.0,59.0,0.0,0.0,,
246,tt0054443,village of the damned,1960,13867.0,7.3,7.7,9.2,0.2,,4.0,2.0,77.0,0.0,2.0,,
247,tt0054463,watch your stern,1960,253.0,5.8,5.8,5.8,,,4.0,1.0,90.0,0.0,0.0,,
248,tt0316923,the young jacobites,1960,25.0,7.5,7.5,7.5,,,4.0,1.0,139.0,0.0,0.0,,
249,tt0054594,the absent-minded professor,1961,6645.0,6.8,7.5,8.2,2.0,,4.0,4.0,92.0,1.0,5.0,,
250,tt0054601,ada,1961,821.0,6.7,6.7,6.7,,,4.0,2.0,109.0,0.0,0.0,,
251,tt0054615,all in a night's work,1961,590.0,6.2,6.2,6.2,,,4.0,1.0,94.0,0.0,0.0,,
252,tt0054613,all hands on deck,1961,203.0,5.9,5.9,5.9,,,4.0,2.0,100.0,0.0,0.0,,
253,tt0054628,angel baby,1961,226.0,6.2,6.2,6.2,,,4.0,1.0,97.0,0.0,0.0,,
254,tt0053610,atlas,1961,171.0,4.1,4.1,4.1,0.07,,4.0,3.0,79.0,0.0,0.0,,
255,tt0054634,aquamania,1961,435.0,7.0,7.0,7.0,,,3.0,4.0,8.0,0.0,0.0,,
256,tt0054636,armored command,1961,191.0,5.2,5.2,5.2,,,4.0,2.0,99.0,0.0,0.0,,
257,tt0054642,"atlantis, the lost continent",1961,1418.0,5.6,5.6,5.6,,,4.0,2.0,90.0,0.0,0.0,,
259,tt0054651,bachelor flat,1961,295.0,5.9,5.9,5.9,,,4.0,1.0,91.0,0.0,0.0,,
260,tt0054652,bachelor in paradise,1961,1234.0,6.3,6.3,6.3,1.99,,4.0,2.0,109.0,1.0,3.0,,
261,tt0054653,back street,1961,885.0,6.8,6.8,6.8,,,4.0,1.0,107.0,0.0,0.0,,
262,tt0054671,battle at bloody beach,1961,371.0,5.6,5.6,5.6,,,4.0,2.0,83.0,0.0,0.0,,
263,tt0054673,the beast of yucca flats,1961,9176.0,2.1,2.1,2.1,0.03,,4.0,2.0,54.0,0.0,0.0,,
264,tt0054674,beep prepared,1961,366.0,7.3,7.3,7.3,,,1.0,3.0,6.0,0.0,0.0,,
266,tt0054679,the big gamble,1961,86.0,6.2,6.2,6.2,,,4.0,3.0,100.0,0.0,0.0,,
267,tt0054681,the big show,1961,102.0,5.7,5.7,5.7,,,4.0,1.0,113.0,0.0,0.0,,
