,title,year,imdbID,win,nom
410,teenage millionaire,1961,tt0056563,0,0
411,three blondes in his life,1961,tt0181055,0,0
412,a thunder of drums,1961,tt0055524,0,0
413,tomboy and the champ,1961,tt0055533,0,0
414,too late blues,1961,tt0055534,0,0
415,town without pity,1961,tt0055539,0,0
416,twenty plus two,1961,tt0055552,0,0
417,"20,000 eyes",1961,tt0054585,0,0
418,twist around the clock,1961,tt0055554,0,0
419,the two little bears,1961,tt0055555,0,0
420,two loves,1961,tt0055557,0,0
421,two rode together,1961,tt0055558,0,0
422,underworld u.s.a.,1961,tt0055571,0,0
423,valley of the dragons,1961,tt0055583,0,0
424,"very nice, very nice",1961,tt0055594,0,0
425,voyage to the bottom of the sea,1961,tt0055608,0,0
426,war is hell,1961,tt0052376,0,0
427,west side story,1961,tt0055614,4,5
429,when the clock strikes,1961,tt0055617,0,0
430,wild in the country,1961,tt0055623,0,0
431,wings of chance,1961,tt0055625,0,0
433,x-15,1961,tt0055627,0,0
434,you have to run fast,1961,tt0055631,0,0
435,the young doctors,1961,tt0055632,0,0
436,the young savages,1961,tt0055633,0,0
437,bomb in the high street,1961,tt0179686,0,0
439,carry on regardless,1961,tt0054727,0,0
440,cash on demand,1961,tt0054731,0,0
441,the court martial of major keller,1961,tt0057969,0,0
442,the curse of the werewolf,1961,tt0054777,0,0
443,the day the earth caught fire,1961,tt0054790,0,0
444,dentist on the job,1961,tt0054798,0,0
445,the devil's daffodil,1961,tt0054912,0,0
447,double bunk,1961,tt0054820,0,0
449,five golden hours,1961,tt0054877,0,0
450,flame in the streets,1961,tt0054879,0,0
452,freedom to die,1961,tt0054897,0,0
453,the frightened city,1961,tt0054898,0,0
454,fury at smugglers' bay,1961,tt0057085,0,0
455,girl on approval,1961,tt0215801,0,0
457,gorgo,1961,tt0054938,0,0
458,the green helmet,1961,tt0054943,0,0
460,the guns of navarone,1961,tt0054953,0,3
461,the hellfire club,1961,tt0053903,0,0
462,the hellions,1961,tt0054968,0,0
463,highway to battle,1961,tt0053913,0,0
464,house of mystery,1961,tt0054996,0,0
465,the impersonator,1961,tt0053942,0,0
466,information received,1961,tt0056099,0,0
467,the innocents,1961,tt0055018,0,0
468,invasion quartet,1961,tt0055020,0,0
470,the kitchen,1961,tt0055049,0,0
472,lunch hour,1961,tt0242622,0,0
473,the man in the back seat,1961,tt0244055,0,0
474,a matter of who,1961,tt0055156,0,0
476,"murder, she said",1961,tt0055205,0,0
477,nearly a nasty accident,1961,tt0055221,0,0
478,the night we got the bird,1961,tt0055231,0,0
480,no love for johnnie,1961,tt0055234,0,0
481,no my darling daughter,1961,tt0055235,0,0
482,nothing barred,1961,tt0199875,0,0
486,part-time wife,1961,tt0055280,0,0
488,passport to china,1961,tt0055282,0,0
490,petticoat pirates,1961,tt0055293,0,0
491,pit of darkness,1961,tt0055305,0,0
492,the queen's guards,1961,tt0055348,0,0
495,the rebel,1961,tt0055360,0,0
496,return of a stranger,1961,tt0055369,0,0
498,the secret partner,1961,tt0055422,0,0
499,seven keys,1961,tt0274827,0,0
500,the shadow of the cat,1961,tt0055438,0,0
501,the singer not the song,1961,tt0054740,0,0
502,the snake woman,1961,tt0055456,0,0
503,"so evil, so young",1961,tt0055459,0,0
504,spare the rod,1961,tt0055469,0,0
506,strip tease murder,1961,tt0227572,0,0
508,a taste of honey,1961,tt0055506,0,0
509,the third alibi,1961,tt0219347,0,0
510,three on a spree,1961,tt0055523,0,0
512,"two living, one dead",1961,tt0055556,0,0
513,the unstoppable man,1961,tt0186657,0,0
515,victim,1961,tt0055597,0,0
516,"watch it, sailor!",1961,tt0055613,0,0
517,a weekend with lulu,1961,tt0056683,0,0
519,what a whopper,1961,tt0055615,0,0
520,whistle down the wind,1961,tt0055618,0,0
521,the wind of change,1961,tt0055624,0,0
523,13 west street,1962,tt0055718,0,0
524,the 300 spartans,1962,tt0055719,0,0
525,40 pounds of trouble,1962,tt0057069,0,0
526,advise & consent,1962,tt0055728,0,0
527,air patrol,1962,tt0055731,0,0
528,all fall down,1962,tt0055738,0,0
530,beauty and the beast,1962,tt0055781,0,0
531,the bellboy and the playgirls,1962,tt0056355,0,0
532,big red,1962,tt0055793,0,0
533,billy rose's jumbo,1962,tt0055797,0,0
534,birdman of alcatraz,1962,tt0055798,0,3
535,black gold,1962,tt0056871,0,0
536,bon voyage!,1962,tt0055807,0,0
537,boys' night out,1962,tt0055809,0,0
538,the brain that wouldn't die,1962,tt0052646,0,0
539,the broken land,1962,tt0055811,0,0
540,brushfire,1962,tt0055813,0,0
541,buddies thicker than water,1962,tt0055814,0,0
542,the cabinet of caligari,1962,tt0055819,0,0
543,cape fear,1962,tt0055824,0,0
545,carmen get it!,1962,tt0055829,0,0
546,carnival of souls,1962,tt0055830,0,0
547,the chapman report,1962,tt0055841,0,0
549,confessions of an opium eater,1962,tt0055864,0,0
550,convicts 4,1962,tt0055868,0,0
551,the couch,1962,tt0055870,0,0
552,the counterfeit traitor,1962,tt0055871,0,0
553,the creation of the humanoids,1962,tt0055872,0,0
554,david and lisa,1962,tt0055892,0,2
555,days of wine and roses,1962,tt0055895,0,2
556,deadly duo,1962,tt0204245,0,0
557,don't knock the twist,1962,tt0055922,0,0
559,escape from zahrain,1962,tt0055963,0,0
560,experiment in terror,1962,tt0055972,0,0
562,the firebrand,1962,tt0055985,0,0
563,five finger exercise,1962,tt0055987,0,0
564,five miles to midnight,1962,tt0056957,0,0
565,five weeks in a balloon,1962,tt0055988,0,0
566,follow that dream,1962,tt0055992,0,0
567,four horsemen of the apocalypse,1962,tt0054890,0,0
569,gay purr-ee,1962,tt0057093,0,0
570,geronimo,1962,tt0056016,0,0
571,gigot,1962,tt0056017,0,0
572,a girl named tamiko,1962,tt0056021,0,0
573,girls! girls! girls!,1962,tt0056023,0,0
574,gypsy,1962,tt0056048,0,0
575,hand of death,1962,tt0056055,0,0
576,hands of a stranger,1962,tt0056056,0,0
577,hatari!,1962,tt0056059,0,0
578,heaven and earth magic,1962,tt0056060,0,0
579,hell is for heroes,1962,tt0056062,0,0
580,hemingway's adventures of a young man,1962,tt0056063,0,0
581,hero's island,1962,tt0056065,0,0
582,high steaks,1962,tt0056068,0,0
583,hitler,1962,tt0056072,0,0
584,the horizontal lieutenant,1962,tt0056079,0,0
585,house of women,1962,tt0056082,0,0
586,how the west was won,1962,tt0056085,0,0
587,if a man answers,1962,tt0056093,0,0
588,in search of the castaways,1962,tt0056095,0,0
589,incident in an alley,1962,tt0056098,0,0
591,the interns,1962,tt0056101,0,0
592,the intruder,1962,tt0055019,0,0
593,invasion of the star creatures,1962,tt0128274,0,0
594,i thank a fool,1962,tt0056089,0,0
595,it happened in athens,1962,tt0056109,0,0
596,it's only money,1962,tt0056110,0,0
597,jack the giant killer,1962,tt0056112,0,0
598,jessica,1962,tt0056117,0,0
599,the jet cage,1962,tt0056118,0,0
600,journey to the seventh planet,1962,tt0056127,0,0
601,kid galahad,1962,tt0056138,0,0
602,lawrence of arabia,1962,tt0056172,2,5
603,light in the piazza,1962,tt0056183,0,0
604,the lion,1962,tt0056186,0,0
605,lolita,1962,tt0056193,0,1
606,lonely are the brave,1962,tt0056195,0,0
607,long day's journey into night,1962,tt0056196,0,1
608,the longest day,1962,tt0056197,0,1
610,the magic sword,1962,tt0056211,0,0
611,the main attraction,1962,tt0056212,0,0
612,the man who shot liberty valance,1962,tt0056217,0,0
613,the manchurian candidate,1962,tt0056218,0,1
615,mermaids of tiburon,1962,tt0056233,0,0
616,merrill's marauders,1962,tt0056234,0,0
617,the miracle worker,1962,tt0056241,2,4
618,mister magoo's christmas carol,1962,tt0123179,0,0
619,moon pilot,1962,tt0056249,0,0
620,mouse into space,1962,tt0056252,0,0
622,the music man,1962,tt0056262,0,0
623,mutiny on the bounty,1962,tt0056264,0,1
624,my geisha,1962,tt0056267,0,0
625,night of evil ,1962,tt0056278,0,0
627,no man is an island,1962,tt0056283,0,0
628,the notorious landlady,1962,tt0056289,0,0
629,the nun and the sergeant,1962,tt0056296,0,0
630,only two can play,1962,tt0056308,0,0
631,panic in year zero!,1962,tt0056331,0,0
632,paradise alley,1962,tt0055274,0,0
633,period of adjustment,1962,tt0056341,0,0
634,phaedra,1962,tt0056346,0,0
635,the pigeon that took rome,1962,tt0056349,0,0
636,pontius pilate,1962,tt0056358,0,0
637,premature burial,1962,tt0056368,0,0
638,pressure point,1962,tt0056370,0,0
639,red nightmare,1962,tt0050261,0,0
641,requiem for a heavyweight,1962,tt0056406,0,0
642,ride the high country,1962,tt0056412,0,0
643,rider on a dead horse,1962,tt0056413,0,0
645,the road to hong kong,1962,tt0056417,0,0
646,rome adventure,1962,tt0056424,0,0
647,safe at home!,1962,tt0056435,0,0
648,saintly sinners,1962,tt0056438,0,0
649,samar,1962,tt0056440,0,0
650,satan in high heels,1962,tt0138075,0,0
651,satan never sleeps,1962,tt0056447,0,0
652,secret file hollywood,1962,tt0056460,0,0
653,sergeants 3,1962,tt0056470,0,0
654,six black horses,1962,tt0056496,0,0
655,sodom and gomorrah,1962,tt0056504,0,0
657,the spiral road,1962,tt0056516,0,0
658,stagecoach to dancers' rock,1962,tt0056522,0,0
659,stark fear,1962,tt0055478,0,0
660,state fair,1962,tt0056526,0,0
661,sweet bird of youth,1962,tt0056541,1,3
662,a symposium on popular songs,1962,tt0056545,0,0
663,tales of terror,1962,tt0056552,0,0
664,taras bulba,1962,tt0056556,0,0
665,tarzan goes to india,1962,tt0056560,0,0
666,tender is the night,1962,tt0056566,0,0
667,that touch of mink,1962,tt0056575,0,0
668,the three stooges meet hercules,1962,tt0056579,0,0
669,the three stooges in orbit,1962,tt0056580,0,0
670,to kill a mockingbird,1962,tt0056592,2,5
671,tonight for sure,1962,tt0153167,0,0
673,tower of london,1962,tt0056606,0,0
674,trauma,1962,tt0056611,0,0
675,the trial,1962,tt0057427,0,0
676,two for the seesaw,1962,tt0056626,0,0
677,two tickets to paris,1962,tt0056624,0,0
678,two weeks in another town,1962,tt0056625,0,0
679,the underwater city,1962,tt0056637,0,0
680,a view from the bridge,1962,tt0056668,0,0
681,walk on the wild side,1962,tt0056671,0,0
682,war hunt,1962,tt0056675,0,0
683,the war lover,1962,tt0056676,0,0
684,what ever happened to baby jane?,1962,tt0056687,0,2
685,when the girls take over,1962,tt0056689,0,0
686,who's got the action?,1962,tt0056691,0,0
687,wild guitar,1962,tt0056693,0,0
688,the wild westerners,1962,tt0056695,0,0
690,the wonderful world of the brothers grimm,1962,tt0056700,0,0
691,the world's greatest sinner,1962,tt0056703,0,0
692,young guns of texas,1962,tt0056710,0,0
693,zotz!,1962,tt0056725,0,0
694,all night long,1962,tt0054614,0,0
695,othello,1962,tt0056317,0,0
696,ambush in leopard street,1962,tt0166075,0,0
699,billy budd,1962,tt0055796,0,1
701,the boys,1962,tt0056356,0,0
702,the brain,1962,tt0056601,0,0
704,carry on cruising,1962,tt0055831,0,0
706,crooks anonymous,1962,tt0055875,0,0
710,dead man's evidence,1962,tt0055896,0,0
711,the devil's agent,1962,tt0054806,0,0
712,dilemma,1962,tt0238165,0,0
713,dr. no,1962,tt0055928,0,0
714,don't talk to strange men,1962,tt0206692,0,0
715,emergency,1962,tt0055955,0,0
720,go to blazes,1962,tt0056032,0,0
722,guns of darkness,1962,tt0056044,0,0
725,in the doghouse,1962,tt0055015,0,0
728,jigsaw,1962,tt0056121,0,0
729,kill or cure,1962,tt0056139,0,0
730,a kind of loving,1962,tt0056141,0,0
731,the l-shaped room,1962,tt0057239,0,0
733,"live now, pay later",1962,tt0056189,0,0
735,the loneliness of the long distance runner,1962,tt0056194,0,0
736,masters of venus,1962,tt0056229,0,0
737,mix me a person,1962,tt0056243,0,0
740,night of the prowler,1962,tt0056280,0,0
741,on the beat,1962,tt0056307,0,0
742,operation snatch,1962,tt0056311,0,0
743,our man in the caribbean,1962,tt0313440,0,0
747,a pair of briefs,1962,tt0056325,0,0
748,the password is courage,1962,tt0056335,0,0
