,imdbID,title,year,n_votes,imdb_rating,box_office,cast,genre,running_time,inflation_factor,box_office_adjusted,metscore,rotten_tomatoes,other_wins,other_noms
325,tt1985949,angry birds,2016,73814,6.3,352.3,10.0,3.0,97.0,0.4166545142433346,146.78738536792682,4.3,4.4,2.0,8.0
326,tt0264464,catch me if you can,2002,745174,8.1,352.1,5.0,3.0,141.0,0.555864369093941,195.7198443579766,7.5,9.6,16.0,44.0
327,tt5117670,peter rabbit,2018,29736,6.5,351.3,7.0,4.0,95.0,0.3982366082984544,139.90052049524704,5.1,6.4,4.0,14.0
328,tt5028340,mary poppins returns,2018,64106,6.8,349.5,9.0,3.0,131.0,0.3982366082984544,139.18369460030982,6.6,7.9,18.0,90.0
329,tt0130623,dinosaur,2000,48972,6.5,349.8,10.0,2.0,82.0,0.5807200929152149,203.13588850174216,5.6,6.4,4.0,21.0
330,tt0120647,deep impact,1998,154106,6.2,349.5,6.0,5.0,121.0,0.6134969325153374,214.41717791411045,4.0,4.5,5.0,14.0
331,tt1482459,the lorax,2012,91979,6.4,348.8,7.0,3.0,86.0,0.4355514516929884,151.92034635051436,4.6,,4.0,8.0
332,tt0368891,national treasure,2004,289591,6.8,347.5,7.0,3.0,131.0,0.5293806246691372,183.95976707252512,3.9,4.6,1.0,9.0
333,tt1790864,the maze runner,2014,395234,6.8,348.3,5.0,4.0,113.0,0.422411462557448,147.12591240875915,5.7,6.5,4.0,11.0
334,tt0092115,troll,1986,8726,4.5,346.9,6.0,5.0,93.0,0.9124087591240876,316.514598540146,,2.5,0.0,1.0
335,tt1679335,trolls,2016,64932,6.5,346.9,6.0,4.0,93.0,0.4166545142433346,144.53745099101278,5.6,7.6,4.0,35.0
336,tt0343818,"i, robot",2004,474889,7.1,347.2,6.0,4.0,115.0,0.5293806246691372,183.8009528851244,5.9,,1.0,13.0
337,tt0266915,rush hour 2,2001,189494,6.6,347.3,7.0,3.0,90.0,0.564652738565782,196.1038961038961,4.8,5.2,10.0,22.0
338,tt0114148,pocahontas,1995,157650,6.7,346.1,10.0,5.0,81.0,0.6561679790026247,227.09973753280846,5.8,5.5,13.0,6.0
339,tt1293847,xxx: return of xander cage,2017,80309,5.2,346.1,9.0,3.0,107.0,0.40796344647519583,141.19614882506528,4.2,4.5,1.0,6.0
340,tt0170016,how the grinch stole christmas,2000,187892,6.1,345.1,5.0,3.0,105.0,0.5807200929152149,200.4065040650407,4.6,5.0,17.0,37.0
341,tt2660888,star trek beyond,2016,215007,7.1,343.5,8.0,3.0,122.0,0.4166545142433346,143.12082564258543,6.8,8.6,3.0,27.0
342,tt0109813,the flintstones,1994,71213,4.9,341.6,7.0,3.0,91.0,0.6747638326585695,230.49932523616738,3.8,2.2,6.0,10.0
343,tt0414951,the quiet,2005,14876,6.3,0.38,5.0,3.0,91.0,0.5120327700972862,0.1945724526369688,2.9,2.1,1.0,0.0
344,tt6644200,a quiet place,2018,335159,7.5,340.9,2.0,3.0,91.0,0.3982366082984544,135.7588597689431,8.2,9.5,34.0,105.0
345,tt0461770,enchanted,2007,168059,7.0,340.5,6.0,6.0,107.0,0.482392667631452,164.2547033285094,7.5,9.3,12.0,48.0
346,tt1253863,300: rise of an empire,2014,268584,6.2,337.6,6.0,1.0,102.0,0.422411462557448,142.60610975939449,4.8,4.5,2.0,7.0
347,tt0112462,batman forever,1995,224902,5.4,336.6,7.0,4.0,122.0,0.6561679790026247,220.86614173228352,5.1,3.9,10.0,22.0
348,tt0473075,prince of persia: the sands of time,2010,260243,6.6,336.4,4.0,2.0,116.0,0.4585977913930367,154.27229702461753,5.0,3.7,1.0,10.0
349,tt0327084,over the hedge,2006,151085,6.7,336.0,6.0,3.0,83.0,0.4960317460317461,166.66666666666669,6.7,7.5,7.0,26.0
350,tt0069031,"now you see him, now you don't",1972,1641,6.3,334.9,10.0,3.0,129.0,2.392344497607656,801.1961722488037,,8.0,0.0,0.0
351,tt1397514,journey 2: the mysterious island,2012,86281,5.8,335.3,6.0,4.0,94.0,0.4355514516929884,146.04040175265902,4.1,4.4,7.0,4.0
352,tt0117500,the rock,1996,298204,7.4,335.1,5.0,3.0,136.0,0.6373486297004461,213.57552581261956,5.8,6.6,9.0,8.0
353,tt0123770,the curious female,1970,163,4.6,334.0,7.0,5.0,166.0,2.5773195876288657,860.8247422680412,,,0.0,0.0
354,tt0421715,the curious case of benjamin button,2008,552177,7.8,334.0,7.0,3.0,166.0,0.4644617120987632,155.1302118409869,7.0,7.1,81.0,157.0
355,tt0120347,tomorrow never dies,1997,171830,6.5,333.0,6.0,4.0,119.0,0.6230529595015576,207.47663551401868,5.2,5.7,6.0,9.0
356,tt0087469,indiana jones and the temple of doom,1984,417581,7.6,333.1,6.0,2.0,118.0,0.9624639076034648,320.5967276227141,5.7,8.5,10.0,21.0
357,tt1979388,the good dinosaur,2015,94105,6.7,332.2,8.0,4.0,94.0,0.42191066463587,140.158722792036,6.6,7.6,8.0,40.0
