imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast,genre,running_time,other_wins,other_noms
tt1253863,300: rise of an empire,2014,268584.0,6.2,4.8,4.5,,91.02,4,1,102 min,2.0,7.0
tt0473075,prince of persia: the sands of time,2010,260243.0,6.6,5.0,3.7,,90.76,4,2,116 min,1.0,10.0
tt1397514,journey 2: the mysterious island,2012,86281.0,5.8,4.1,4.4,,103.81,4,6,94 min,7.0,4.0
tt0123770,the curious female,1970,163.0,4.6,,,,,4,2,87 min,0,0
tt0087469,indiana jones and the temple of doom,1984,420358.0,7.6,5.7,8.5,,,4,2,118 min,10.0,21.0
tt0096874,back to the future part ii,1989,441827.0,7.8,5.7,6.5,,,4,3,108 min,9.0,8.0
tt0096438,who framed roger rabbit,1988,172224.0,7.7,8.3,9.7,,,4,7,104 min,21.0,21.0
tt0090555,crocodile dundee,1986,87579.0,6.6,6.2,8.7,,,4,3,97 min,3.0,7.0
tt0114369,se7en,1995,1339280.0,8.6,6.5,8.1,,,4,4,127 min,26.0,40.0
tt2446042,taken 3,2014,170146.0,6.0,2.6,1.3,,,4,2,108 min,3.0,2.0
tt0071413,devil times five,1974,1161.0,5.1,,,,,4,1,88 min,0,0
tt2279373,the spongebob movie: sponge out of water,2015,45235.0,6.0,6.2,8.1,,,4,5,92 min,1.0,9.0
tt0093010,fatal attraction,1987,69885.0,6.9,6.7,7.6,,,4,2,119 min,7.0,16.0
tt4046784,maze runner: the scorch trials,2015,206889.0,6.3,4.3,4.6,,,4,3,131 min,2.0,5.0
tt2592614,resident evil: the final chapter,2016,77547.0,5.5,4.9,3.7,,26.84,4,4,107 min,2.0,3.0
tt0145660,austin powers: the spy who shagged me,1999,208404.0,6.6,5.9,5.2,,,4,4,95 min,18.0,30.0
tt1595656,to the wonder,2012,25715.0,5.9,5.8,4.6,,0.5,4,2,112 min,5.0,10.0
tt5140878,annabelle: creation,2017,100808.0,6.5,6.2,7.0,,101.79,4,3,109 min,1.0,6.0
tt0325980,pirates of the caribbean: the curse of the black pearl,2003,980043.0,8.0,6.3,7.9,,305.34,4,3,143 min,38.0,98.0
tt1046173,g.i. joe: the rise of cobra,2009,193266.0,5.8,3.2,3.4,,150.17,4,4,118 min,3.0,16.0
tt1220634,resident evil: afterlife,2010,156150.0,5.8,3.7,2.2,,60.13,4,4,96 min,2.0,8.0
tt0089927,rocky iv,1985,176021.0,6.9,4.0,4.0,,,4,2,91 min,9.0,5.0
tt0089880,rambo: first blood part ii,1985,144963.0,6.5,4.7,3.6,,,4,3,96 min,5.0,4.0
tt0092644,beverly hills cop ii,1987,101129.0,6.5,4.8,4.6,,,4,4,100 min,6.0,3.0
tt0116231,the bandit,1996,57957.0,8.3,,,,,4,3,128 min,2.0,0
tt0097778,look who's talking,1989,73953.0,5.9,5.1,5.7,,,4,1,93 min,5.0,2.0
tt0087332,ghostbusters,1984,334764.0,7.8,7.1,9.7,,,4,3,105 min,6.0,6.0
tt1673434,the twilight saga: breaking dawn - part 2,2012,219911.0,5.5,5.2,4.9,,292.3,4,4,115 min,21.0,14.0
tt0094898,coming to america,1988,151267.0,7.0,4.7,6.7,,,4,2,116 min,5.0,3.0
tt4500922,maze runner: the death cure,2018,98780.0,6.2,5.0,4.3,,57.07,4,4,143 min,0,6.0
tt0146316,lara croft: tomb raider,2001,190119.0,5.8,3.3,2.0,,129.51,4,4,100 min,4.0,17.0
tt0325703,lara croft tomb raider: the cradle of life,2003,124636.0,5.5,4.3,2.5,,65.7,4,3,117 min,1.0,3.0
tt0082801,neighbors,1981,7019.0,5.6,4.7,6.3,,,4,1,94 min,0,2.0
tt0084602,rocky iii,1982,162603.0,6.8,5.7,6.4,,,4,2,99 min,2.0,7.0
tt1528100,exodus: gods and kings,2014,153493.0,6.0,5.2,3.1,,,4,3,150 min,0,5.0
tt0317198,bridget jones: the edge of reason,2004,99027.0,6.0,4.4,2.8,,40.2,4,3,108 min,0,10.0
tt0443453,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,338828.0,7.3,8.9,9.1,,128.4,4,1,84 min,20.0,33.0
tt0305357,charlie's angels: full throttle,2003,115040.0,4.9,4.8,4.2,,100.69,4,4,106 min,9.0,20.0
tt0962726,high school musical 3,2008,54341.0,4.7,5.7,6.4,,90.54,4,6,112 min,8.0,9.0
tt0314331,"love, actually",2003,405898.0,7.6,5.5,6.4,,59.37,4,3,135 min,10.0,27.0
tt3949660,teenage mutant ninja turtles: out of the shadows,2016,79397.0,6.0,4.0,3.7,,82.04,4,4,112 min,0,10.0
tt0085672,hercules,1983,3291.0,4.0,,2.5,,,4,2,98 min,2.0,3.0
tt0099088,back to the future part iii,1990,374689.0,7.4,5.5,7.9,,,4,4,118 min,5.0,11.0
