,title,year,imdbID,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
141,why must i die?,1960,tt0054474,O,O,O,O,O,O,O,O,O,O,O,O,O,O
142,the wild ride,1960,tt0054475,O,O,O,O,O,O,O,O,O,O,O,O,O,O
143,wild river,1960,tt0054476,O,O,O,O,O,O,O,O,O,O,O,O,O,O
144,the world of suzie wong,1960,tt0054483,O,O,O,O,O,O,O,O,O,O,O,O,O,O
145,young jesse james,1960,tt0054489,O,O,O,O,O,O,O,O,O,O,O,O,O,O
146,the young one,1960,tt0053967,O,O,O,O,O,O,O,O,O,O,O,O,O,O
147,and the same to you,1960,tt0166983,O,O,O,O,O,O,O,O,O,O,O,O,O,O
148,the angry silence,1960,tt0053602,O,O,O,O,O,O,O,O,O,O,O,O,O,O
149,bottoms up,1960,tt0053668,O,O,O,O,O,O,O,O,O,O,O,O,O,O
150,the boy who stole a million,1960,tt0054696,O,O,O,O,O,O,O,O,O,O,O,O,O,O
151,the brides of dracula,1960,tt0053677,O,O,O,O,O,O,O,O,O,O,O,O,O,O
152,the bulldog breed,1960,tt0053683,O,O,O,O,O,O,O,O,O,O,O,O,O,O
153,carry on constable,1960,tt0053699,O,O,O,O,O,O,O,O,O,O,O,O,O,O
154,circus of horrors,1960,tt0053717,O,O,O,O,O,O,O,O,O,O,O,O,O,O
155,the city of the dead,1960,tt0053719,O,O,O,O,O,O,O,O,O,O,O,O,O,O
156,conspiracy of hearts,1960,tt0053732,O,O,O,O,O,O,O,O,O,O,O,O,O,O
157,crossroads to crime,1960,tt0195618,O,O,O,O,O,O,O,O,O,O,O,O,O,O
158,the day they robbed the bank of england,1960,tt0053752,O,O,O,O,O,O,O,O,O,O,O,O,O,O
159,dead lucky,1960,tt0124344,O,O,O,O,O,O,O,O,O,O,O,O,O,O
160,dentist in the chair,1960,tt0053759,O,O,O,O,O,O,O,O,O,O,O,O,O,O
161,depth charge,1960,tt0204995,O,O,O,O,O,O,O,O,O,O,O,O,O,O
162,doctor in love,1960,tt0053775,O,O,O,O,O,O,O,O,O,O,O,O,O,O
163,the entertainer,1960,tt0053796,N,O,O,O,O,O,O,O,O,O,O,O,O,O
164,escort for hire,1960,tt0053799,O,O,O,O,O,O,O,O,O,O,O,O,O,O
165,faces in the dark,1960,tt0053809,O,O,O,O,O,O,O,O,O,O,O,O,O,O
166,the flesh and the fiends,1960,tt0052811,O,O,O,O,O,O,O,O,O,O,O,O,O,O
167,follow that horse!,1960,tt0199533,O,O,O,O,O,O,O,O,O,O,O,O,O,O
168,foxhole in cairo,1960,tt0054891,O,O,O,O,O,O,O,O,O,O,O,O,O,O
169,a french mistress,1960,tt0053839,O,O,O,O,O,O,O,O,O,O,O,O,O,O
170,the gentle trap,1960,tt0053857,O,O,O,O,O,O,O,O,O,O,O,O,O,O
171,the hand,1960,tt0053890,O,O,O,O,O,O,O,O,O,O,O,O,O,O
172,the hands of orlac,1960,tt0054963,O,O,O,O,O,O,O,O,O,O,O,O,O,O
173,hell is a city,1960,tt0053900,O,O,O,O,O,O,O,O,O,O,O,O,O,O
174,the house in marsh road,1960,tt0053952,O,O,O,O,O,O,O,O,O,O,O,O,O,O
175,identity unknown,1960,tt0053938,O,O,O,O,O,O,O,O,O,O,O,O,O,O
176,in the nick,1960,tt0053943,O,O,O,O,O,O,O,O,O,O,O,O,O,O
177,inn for trouble,1960,tt0053947,O,O,O,O,O,O,O,O,O,O,O,O,O,O
178,jazz boat,1960,tt0053963,O,O,O,O,O,O,O,O,O,O,O,O,O,O
179,kidnapped,1960,tt0053994,O,O,O,O,O,O,O,O,O,O,O,O,O,O
180,the league of gentlemen,1960,tt0052997,O,O,O,O,O,O,O,O,O,O,O,O,O,O
181,let's get married,1960,tt0195876,O,O,O,O,O,O,O,O,O,O,O,O,O,O
182,life is a circus,1960,tt0051863,O,O,O,O,O,O,O,O,O,O,O,O,O,O
183,make mine mink,1960,tt0054049,O,O,O,O,O,O,O,O,O,O,O,O,O,O
184,man in the moon,1960,tt0055133,O,O,O,O,O,O,O,O,O,O,O,O,O,O
185,the man who was nobody,1960,tt7052018,O,O,O,O,O,O,O,O,O,O,O,O,O,O
186,the millionairess,1960,tt0054086,O,O,O,O,O,O,O,O,O,O,O,O,O,O
187,never let go,1960,tt0054115,O,O,O,O,O,O,O,O,O,O,O,O,O,O
188,never take sweets from a stranger,1960,tt0054116,O,O,O,O,O,O,O,O,O,O,O,O,O,O
189,night train for inverness,1960,tt0054121,O,O,O,O,O,O,O,O,O,O,O,O,O,O
190,operation cupid,1960,tt0199910,O,O,O,O,O,O,O,O,O,O,O,O,O,O
191,oscar wilde,1960,tt0053149,O,O,O,O,O,O,O,O,O,O,O,O,O,O
192,peeping tom,1960,tt0054167,O,O,O,O,O,O,O,O,O,O,O,O,O,O
193,piccadilly third stop,1960,tt0054181,O,O,O,O,O,O,O,O,O,O,O,O,O,O
194,the pure hell of st trinian's,1960,tt0055342,O,O,O,O,O,O,O,O,O,O,O,O,O,O
195,sands of the desert,1960,tt0054266,O,O,O,O,O,O,O,O,O,O,O,O,O,O
196,saturday night and sunday morning,1960,tt0054269,O,O,O,O,O,O,O,O,O,O,O,O,O,O
197,school for scoundrels,1960,tt0054279,O,O,O,O,O,O,O,O,O,O,O,O,O,O
198,sink the bismarck!,1960,tt0054310,O,O,O,O,O,O,O,O,O,O,O,O,O,O
199,sons and lovers,1960,tt0054326,N,O,W,O,N,O,O,O,N,O,N,N,O,O
200,the spider's web,1960,tt0339716,O,O,O,O,O,O,O,O,O,O,O,O,O,O
201,sword of sherwood forest,1960,tt0054358,O,O,O,O,O,O,O,O,O,O,O,O,O,O
202,the tell-tale heart,1960,tt0056565,O,O,O,O,O,O,O,O,O,O,O,O,O,O
203,there was a crooked man,1960,tt0054379,O,O,O,O,O,O,O,O,O,O,O,O,O,O
204,too young to love,1960,tt0053366,O,O,O,O,O,O,O,O,O,O,O,O,O,O
205,the trials of oscar wilde,1960,tt0054403,O,O,O,O,O,O,O,O,O,O,O,O,O,O
206,trouble with eve,1960,tt0054408,O,O,O,O,O,O,O,O,O,O,O,O,O,O
207,tunes of glory,1960,tt0054412,O,O,O,O,O,O,O,O,O,O,O,N,O,O
208,the two faces of dr. jekyll,1960,tt0054416,O,O,O,O,O,O,O,O,O,O,O,O,O,O
