imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms
tt0052997,the league of gentlemen,1960,3381.0,7.3,,8.6,,,4,3,116 min,1.0,0
tt0195876,let's get married,1960,7.0,8.6,,,,,4,2,91 min,0,0
tt0051863,life is a circus,1960,163.0,7.8,,,,,4,1,84 min,0,0
tt0054049,make mine mink,1960,888.0,7.1,,,,,4,1,100 min,0,0
tt0055133,man in the moon,1960,202.0,6.2,,,,,4,2,98 min,0,0
tt7052018,the man who was nobody,1960,23.0,5.8,,,,,4,2,58 min,0,0
tt0054086,the millionairess,1960,1491.0,5.5,,2.0,,,4,3,90 min,0,0
tt0054115,never let go,1960,916.0,7.1,,,,,4,3,90 min,0,0
tt0054116,never take sweets from a stranger,1960,848.0,7.3,,,,,4,4,91 min,0,0
tt0054121,night train for inverness,1960,39.0,6.2,,,,,4,1,69 min,0,0
tt0199910,operation cupid,1960,18.0,5.5,,,,,4,1,62 min,0,0
tt0053149,oscar wilde,1960,323.0,6.9,,,,,4,3,96 min,0,0
tt0054167,peeping tom,1960,27943.0,7.7,,9.6,,,4,3,101 min,0,0
tt0054181,piccadilly third stop,1960,86.0,6.6,,,,,4,2,78 min,0,0
tt0055342,the pure hell of st trinian's,1960,651.0,6.2,,,,,4,1,94 min,0,0
tt0054266,sands of the desert,1960,93.0,5.0,,,,,4,1,92 min,0,0
tt0054269,saturday night and sunday morning,1960,6960.0,7.6,,9.2,,,4,2,89 min,7.0,3.0
tt0054279,school for scoundrels,1960,2836.0,7.5,,,,,4,1,94 min,0,0
tt0054310,sink the bismarck!,1960,6466.0,7.1,,8.6,,,4,4,97 min,0,2.0
tt0054326,sons and lovers,1960,1191.0,7.1,,6.7,,,4,1,103 min,7.0,16.0
tt0339716,the spider's web,1960,91.0,6.2,,,,,4,1,88 min,0,0
tt0054358,sword of sherwood forest,1960,871.0,6.3,,,,,4,3,80 min,0,0
tt0056565,the tell-tale heart,1960,309.0,5.8,,,,,4,1,78 min,0,0
tt0054379,there was a crooked man,1960,90.0,7.1,,,,,4,1,107 min,0,0
tt0053366,too young to love,1960,32.0,5.9,,,,,4,1,88 min,0,0
tt0054403,the trials of oscar wilde,1960,695.0,7.1,,,,,4,3,123 min,3.0,5.0
tt0054408,trouble with eve,1960,7.0,7.0,,,,,4,1,65 min,0,0
tt0054412,tunes of glory,1960,3166.0,7.6,,7.8,,,4,1,106 min,1.0,6.0
tt0054416,the two faces of dr. jekyll,1960,2213.0,6.3,,8.3,,,4,1,88 min,0,0
tt0054417,two-way stretch,1960,1585.0,7.0,,,,,4,2,78 min,0,0
tt0226581,urge to kill,1960,24.0,5.9,,,,,4,2,59 min,0,0
tt0054443,village of the damned,1960,13867.0,7.3,7.7,9.2,,,4,2,77 min,0,2.0
tt0054463,watch your stern,1960,253.0,5.8,,,,,4,1,90 min,0,0
tt0316923,the young jacobites,1960,25.0,7.5,,,,,4,1,139 min,0,0
tt0054594,the absent-minded professor,1961,6645.0,6.8,7.5,8.2,,,4,4,92 min,1.0,5.0
tt0054601,ada,1961,821.0,6.7,,,,,4,2,109 min,0,0
tt0054615,all in a night's work,1961,590.0,6.2,,,,,4,1,94 min,0,0
tt0054613,all hands on deck,1961,203.0,5.9,,,,,4,2,100 min,0,0
tt0054628,angel baby,1961,226.0,6.2,,,,,4,1,97 min,0,0
tt0053610,atlas,1961,171.0,4.1,,,,,4,3,79 min,0,0
tt0054634,aquamania,1961,435.0,7.0,,,,,3,4,8 min,0,0
tt0054636,armored command,1961,191.0,5.2,,,,,4,2,99 min,0,0
tt0054642,"atlantis, the lost continent",1961,1418.0,5.6,,,,,4,2,90 min,0,0
tt0054651,bachelor flat,1961,295.0,5.9,,,,,4,1,91 min,0,0
tt0054652,bachelor in paradise,1961,1234.0,6.3,,,,,4,2,109 min,1.0,3.0
tt0054653,back street,1961,885.0,6.8,,,,,4,1,107 min,0,0
tt0054671,battle at bloody beach,1961,371.0,5.6,,,,,4,2,83 min,0,0
tt0054673,the beast of yucca flats,1961,9176.0,2.1,,,,,4,2,54 min,0,0
tt0054674,beep prepared,1961,366.0,7.3,,,,,1,3,6 min,0,0
tt0054679,the big gamble,1961,86.0,6.2,,,,,4,3,100 min,0,0
tt0054681,the big show,1961,102.0,5.7,,,,,4,1,113 min,0,0
tt0054687,blast of silence,1961,3455.0,7.6,,8.5,,,4,3,77 min,0,0
tt0054691,bloodlust!,1961,2025.0,3.5,,,,,4,2,68 min,0,0
tt0054692,blue hawaii,1961,4978.0,6.1,5.8,2.9,,,4,2,102 min,1.0,3.0
tt0054693,blueprint for robbery,1961,28.0,6.5,,,,,4,2,87 min,0,0
tt0054695,boy who caught a crook,1961,44.0,5.2,,,,,4,2,72 min,0,0
tt0259898,boys beware,1961,390.0,3.5,,,,,1,2,10 min,0,0
tt0054698,breakfast at tiffany's,1961,155545.0,7.7,7.6,8.8,,,4,3,115 min,10.0,13.0
tt0054701,bridge to the sun,1961,682.0,7.1,,,,,4,3,113 min,0,1.0
tt0054710,by love possessed,1961,341.0,5.6,,,,,4,1,115 min,0,0
tt0054733,the cat burglar,1961,122.0,6.2,,,,,4,1,65 min,0,0
tt0054743,the children's hour,1961,13254.0,7.8,4.9,8.6,,,4,2,108 min,1.0,6.0
tt0054752,claudelle inglish,1961,190.0,6.0,,,,,4,1,99 min,0,0
tt0054753,the clown and the kid,1961,11.0,4.5,,,,,4,1,65 min,0,0
tt0054755,a cold wind in august,1961,263.0,6.6,,,,,4,1,80 min,0,0
tt0054757,the comancheros,1961,7638.0,6.9,5.5,10.0,,,4,4,107 min,2.0,3.0
tt0054759,come september,1961,2869.0,7.1,,8.0,,,4,2,112 min,1.0,1.0
tt0054764,the continental twist,1961,39.0,5.5,,,,,4,2,76 min,0,0
tt0054768,creature from the haunted sea,1961,2360.0,3.4,,,,,4,2,63 min,0,0
tt0054772,cry for happy,1961,184.0,6.2,,,,,4,2,110 min,0,0
tt0054782,daffy's inn trouble,1961,173.0,6.9,,,,,1,3,6 min,0,0
tt0054795,the deadly companions,1961,1827.0,6.1,,8.3,,,4,2,93 min,0,0
tt0055902,the devil's hand,1961,836.0,4.5,,,,,4,1,71 min,0,0
tt0051536,devil's partner,1961,277.0,4.9,,,,,4,1,73 min,0,0
tt0054809,diary of a nudist,1961,364.0,4.1,,,,,4,2,72 min,0,0
tt0054822,down and outing,1961,208.0,4.7,,,,,1,3,7 min,0,0
tt0054847,el cid,1961,11925.0,7.2,7.9,9.2,,,4,5,182 min,7.0,10.0
tt0054853,the errand boy,1961,1680.0,6.4,,5.0,,,4,2,92 min,0,0
tt0054860,everything's ducky,1961,105.0,4.7,,,,,4,2,80 min,0,0
tt0054861,the exiles,1961,749.0,7.0,,8.9,,,4,1,72 min,1.0,0
tt0054862,the explosive generation,1961,303.0,6.6,,,,,4,1,89 min,0,0
tt0054866,fanny,1961,1775.0,7.0,,,,,4,2,134 min,1.0,11.0
tt0150524,fear no more,1961,65.0,6.5,,,,,4,3,80 min,0,0
tt0054873,a fever in the blood,1961,190.0,6.4,,,,,4,1,117 min,0,0
tt0054874,the fiercest heart,1961,47.0,6.7,,,,,4,1,91 min,0,0
tt0054817,five minutes to live,1961,612.0,5.7,,,,,4,4,80 min,0,0
tt0054883,flight of the lost balloon,1961,120.0,4.7,,,,,4,1,91 min,0,0
tt0054885,flower drum song,1961,2168.0,7.0,,,,,4,3,133 min,1.0,7.0
tt0132974,force of impulse,1961,15.0,6.3,,,,,4,2,84 min,0,0
tt0054892,francis of assisi,1961,623.0,6.5,,,,,4,3,105 min,0,0
tt0054899,frontier uprising,1961,48.0,5.3,,,,,4,3,68 min,0,0
tt0054909,the gambler wore a gun,1961,102.0,5.8,,,,,4,3,66 min,0,0
tt0054918,the george raft story,1961,205.0,5.8,,,,,4,2,106 min,0,0
tt0054923,gidget goes hawaiian,1961,876.0,5.8,,,,,4,3,101 min,0,0
tt0054923,gidget,1961,876.0,5.8,,,,,4,3,101 min,0,0
tt0054933,go naked in the world,1961,182.0,5.3,,,,,4,1,103 min,0,0
tt0054934,gold of the seven saints,1961,467.0,6.5,,,,,4,2,88 min,0,0
tt0054936,goodbye again,1961,2136.0,7.1,,,,,4,2,120 min,2.0,2.0
tt0054944,greyfriars bobby,1961,1094.0,7.4,,,,,4,2,87 min,0,0
tt0054951,gun fight,1961,93.0,5.1,,,,,4,1,67 min,0,0
tt0056043,gun street,1961,77.0,4.9,,,,,4,1,67 min,0,0
tt0056057,the happy thieves,1961,381.0,5.4,,,,,4,3,88 min,0,0
tt0054850,hercules in the haunted world,1961,1509.0,6.3,,5.7,,,4,3,84 min,0,0
tt0054971,"hey, let's twist!",1961,81.0,4.8,,,,,4,1,79 min,0,1.0
tt0054988,homicidal,1961,2623.0,6.8,,7.8,,,4,3,88 min,0,1.0
tt0054989,the honeymoon machine,1961,1056.0,6.3,,,,,4,2,87 min,0,0
tt0054991,hoodlum priest,1961,347.0,6.6,,,,,4,1,101 min,2.0,1.0
tt0054997,the hustler,1961,71805.0,8.0,9.0,9.8,,,4,2,134 min,11.0,20.0
tt0055031,judgment at nuremberg,1961,63745.0,8.2,6.0,9.1,,,4,2,179 min,14.0,25.0
